#
# Graph: brightkite.edgelist -> brightkite brightkite. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(56739, 212945) (Sat Aug  1 21:04:11 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (56739, 212945)
1	1
2	0.333333
3	0.142857
4	0.0769231
5	0.0526316
6	0.0526316
7	0.037037
8	0.0175439
9	0.0169492
10	0.027027
11	0.0322581
12	0.0232558
13	0.0447761
14	0.030303
15	0.0285714
16	0.04
17	0.0512821
18	0.0379747
19	0.060241
20	0.047619
21	0.0537634
22	0.0481283
23	0.057971
24	0.0503597
25	0.0503597
26	0.0555556
27	0.0482759
28	0.0410959
29	0.0463576
30	0.0394737
31	0.0451613
32	0.044586
33	0.0379747
34	0.0429448
35	0.0538922
36	0.0481928
37	0.0419162
38	0.0465116
39	0.0514286
40	0.0508475
41	0.0449438
42	0.0439276
43	0.0412371
44	0.0385604
45	0.0358974
46	0.035533
47	0.0353535
48	0.0351759
49	0.0325815
50	0.0350631
51	0.0336134
52	0.0335196
53	0.0320781
54	0.0290456
55	0.0276243
56	0.0273973
57	0.0246575
58	0.0245902
59	0.0231924
60	0.0231293
61	0.0243243
62	0.0240642
63	0.024
64	0.026455
65	0.0226365
66	0.0255164
67	0.0241546
68	0.0234987
69	0.0234375
70	0.0233766
71	0.0249703
72	0.0248521
73	0.0236407
74	0.0223793
75	0.0234742
76	0.0234192
77	0.0232019
78	0.0220264
79	0.0205279
80	0.0190337
81	0.0175439
82	0.0160584
83	0.0145773
84	0.0131004
85	0.0116279
86	0.0101597
87	0.00869565
88	0.00723589
89	0.00715308
90	0.0183357
91	0.0196629
92	0.0182328
93	0.0168067
94	0.0262794
95	0.0381471
96	0.0380435
97	0.0392422
98	0.0391363
99	0.0375335
100	0.0361446
101	0.0504202
102	0.0621118
103	0.0610134
104	0.0599174
105	0.0588235
106	0.057732
107	0.0566426
108	0.0695322
109	0.0681818
110	0.0668348
111	0.0654912
112	0.0641509
113	0.0628141
114	0.0614806
115	0.0601504
117	0.094697
118	0.0926276
119	0.0956848
120	0.0953271
122	0.0888889
123	0.0882353
124	0.0862385
125	0.0866426
126	0.0879713
127	0.087344
129	0.0867257
130	0.0864198
131	0.089317
133	0.0930693
134	0.0931034
136	0.09375
137	0.0933852
138	0.0930233
139	0.0944123
141	0.0949721
142	0.0946197
144	0.104167
145	0.102253
147	0.0996564
148	0.0977702
150	0.0955631
151	0.0945946
153	0.0932897
154	0.0919378
156	0.0896359
158	0.0894085
159	0.0891632
161	0.0854817
162	0.0840108
164	0.0855365
166	0.0861538
167	0.0858896
169	0.0823171
170	0.0820669
172	0.0852018
174	0.0819672
176	0.0801187
178	0.0778267
179	0.0762463
181	0.0742358
182	0.0753623
185	0.0758226
187	0.0751773
188	0.0736544
190	0.0741259
192	0.0745856
194	0.0729023
196	0.0739726
