#
# Graph: condmat-2005.edgelist -> condmat-2005 condmat-2005. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(36458, 171735) (Sat Aug  1 21:04:21 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (36458, 171735)
1	1
2	0.333333
3	0.142857
4	0.0769231
5	0.047619
6	0.0322581
7	0.0232558
8	0.0285714
9	0.0169492
10	0.027027
11	0.0153846
12	0.0344828
13	0.00636943
14	0.0238095
15	0.010989
16	0.0238095
17	0.030303
18	0.0204082
19	0.0175439
20	0.0169492
21	0.0373444
22	0.0367347
23	0.0322581
24	0.027668
25	0.0404624
26	0.0377358
27	0.0280374
28	0.0278884
29	0.023622
30	0.0116732
31	0.0184049
32	0.0451613
33	0.0423453
34	0.0223642
35	0.0281955
36	0.00636943
37	0.00995475
38	0.0134771
39	0.0177936
40	0.017762
41	0.0296167
42	0.0304083
43	0.0338836
44	0.0362694
45	0.0309278
46	0.035533
47	0.0448772
48	0.037037
49	0.0366972
50	0.0421585
51	0.0488889
52	0.0442478
53	0.0438596
54	0.0434783
55	0.0472103
56	0.0588235
57	0.0688259
58	0.0750988
59	0.0708661
60	0.0733591
61	0.0722433
62	0.0636704
63	0.0666667
64	0.0695971
65	0.084507
66	0.0828977
67	0.0834575
68	0.0903226
69	0.0857143
70	0.0863422
71	0.0909091
72	0.0903226
73	0.09375
74	0.0931677
75	0.0864198
76	0.0858896
77	0.0936556
78	0.0955414
79	0.0846395
80	0.0821705
81	0.0713202
82	0.0725076
83	0.0706767
84	0.0758017
85	0.0722543
86	0.0786838
87	0.0769231
88	0.0723404
89	0.0719323
90	0.0779944
91	0.0803324
92	0.0788382
93	0.0918919
94	0.094086
95	0.0904325
96	0.0906667
97	0.092545
98	0.0973451
99	0.0995025
100	0.100244
101	0.103118
102	0.108014
103	0.105882
104	0.108295
105	0.10984
106	0.109091
107	0.111111
108	0.113356
109	0.112849
110	0.116447
111	0.115108
112	0.11589
113	0.119244
114	0.118211
115	0.116822
117	0.115789
118	0.113898
119	0.113953
120	0.114345
121	0.117714
123	0.12206
124	0.122494
125	0.128035
126	0.13253
127	0.135722
129	0.141956
130	0.143156
131	0.142264
133	0.146067
134	0.150657
136	0.149701
137	0.151635
138	0.148476
139	0.14703
141	0.146176
142	0.142857
144	0.144762
145	0.144213
146	0.141777
148	0.146067
150	0.144434
151	0.148858
153	0.147511
154	0.148783
156	0.143736
158	0.141345
159	0.145646
160	0.147982
162	0.150888
164	0.151026
166	0.147016
167	0.148443
169	0.154448
170	0.155306
172	0.162405
174	0.163014
176	0.161423
178	0.160763
179	0.160544
180	0.159244
182	0.16245
184	0.165354
186	0.171717
188	0.172269
190	0.175065
192	0.178313
194	0.177033
196	0.175691
198	0.174825
199	0.172122
201	0.174458
204	0.17218
205	0.173293
208	0.172927
209	0.172465
213	0.1742
