#
# Graph: dblp.edgelist -> dblp dblp. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(317080, 1049866) (Sat Aug  1 21:05:42 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (317080, 1049866)
1	1
2	0.333333
3	0.142857
4	0.0769231
5	0.047619
6	0.0322581
7	0.0232558
8	0.0175439
9	0.0136986
10	0.010989
11	0.0120482
12	0.0136986
13	0.00636943
14	0.00813008
15	0.00473934
16	0.017341
17	0.00952381
18	0.00934579
19	0.0107527
20	0.00444444
21	0.0120482
22	0.010101
23	0.00840336
24	0.00869565
25	0.00854701
26	0.00411523
27	0.0103093
28	0.027027
29	0.0232558
30	0.0191083
31	0.0157068
32	0.00518135
33	0.0084507
34	0.0117647
35	0.0155039
36	0.016
37	0.0144
38	0.0174717
39	0.0183299
40	0.0126126
41	0.0152466
42	0.0160714
43	0.0151111
44	0.0123894
45	0.014978
46	0.0133333
47	0.0168612
48	0.0131004
49	0.00869565
50	0.0115607
51	0.0143266
52	0.0154459
53	0.014435
54	0.0158888
55	0.0163447
56	0.0153238
57	0.0143069
58	0.011811
59	0.0127576
60	0.0127202
61	0.0117073
62	0.010219
63	0.0111705
64	0.0111488
65	0.0101695
66	0.0106178
67	0.0144092
68	0.0172084
69	0.0186092
70	0.0195312
71	0.0207156
72	0.0215154
73	0.0222841
74	0.0199005
75	0.021316
76	0.0265811
77	0.0265568
78	0.0256176
79	0.0276393
80	0.0276143
81	0.0280289
82	0.0275395
83	0.0270514
84	0.0265646
85	0.0265407
86	0.0260557
87	0.0260323
88	0.026009
89	0.0264219
90	0.0268336
91	0.025641
92	0.0258698
93	0.0253898
94	0.0266667
95	0.0245614
96	0.0249453
97	0.0244541
98	0.0230937
99	0.0208696
100	0.0204082
101	0.023595
102	0.0231362
103	0.0264505
104	0.0260128
105	0.0259685
106	0.0259244
107	0.0263158
108	0.0203199
109	0.0232158
110	0.0192061
111	0.0200256
112	0.0199915
113	0.0191245
114	0.0211685
115	0.0244519
117	0.0296699
118	0.030782
119	0.029703
120	0.0306291
121	0.0306346
123	0.0304026
124	0.0299795
125	0.0299549
126	0.0291103
128	0.0281288
129	0.0263692
130	0.025393
131	0.0249799
133	0.0256616
134	0.0248
136	0.0225922
137	0.0225743
138	0.0229068
140	0.023622
141	0.0227987
142	0.0241245
144	0.0262954
145	0.0262143
147	0.0241287
148	0.0252294
150	0.0219864
151	0.0241875
153	0.0234139
154	0.0230276
156	0.0222558
158	0.0218538
159	0.0214689
161	0.0210053
162	0.0213563
163	0.0209581
165	0.0209111
167	0.0259451
168	0.0273264
171	0.027027
172	0.0416667
174	0.0408895
176	0.0408017
177	0.0410861
179	0.041844
181	0.0422238
183	0.0414909
185	0.0407303
187	0.0429819
189	0.0449173
190	0.0437416
191	0.041625
193	0.0423992
196	0.0426117
198	0.0425532
