#
# Graph: enron.edgelist -> enron enron. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(33696, 180811) (Sat Aug  1 21:05:48 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (33696, 180811)
1	1
2	0.333333
3	0.142857
4	0.0769231
5	0.047619
6	0.0322581
7	0.0232558
8	0.0175439
9	0.0181818
10	0.0153846
11	0.0222222
12	0.0212766
13	0.0491803
14	0.027027
15	0.025
16	0.008
17	0.0387597
18	0.0465116
19	0.0491803
20	0.0555556
21	0.038961
22	0.0318471
23	0.0434783
24	0.042735
25	0.0379747
26	0.0430622
27	0.0280374
28	0.00452489
29	0.0612245
30	0.0598291
31	0.059322
32	0.0442478
33	0.0420168
34	0.0247934
35	0.0163934
36	0.0606061
37	0.0547264
38	0.0582524
39	0.0521327
40	0.0418605
41	0.0502283
42	0.0729614
43	0.0762712
44	0.08
45	0.0679612
46	0.047619
47	0.046729
48	0.037037
49	0.0350877
50	0.0344828
51	0.025641
52	0.0413223
53	0.0483871
54	0.0393701
55	0.0592885
56	0.0588235
57	0.056338
58	0.0572082
59	0.0545455
60	0.0564334
61	0.0567376
62	0.048951
63	0.0452962
64	0.0449827
65	0.0446735
66	0.0443686
67	0.04
68	0.0397351
69	0.0394737
70	0.0392157
71	0.0498915
72	0.0517241
73	0.04375
74	0.0434783
75	0.0820896
76	0.0800745
77	0.0811808
78	0.0818505
79	0.0815603
80	0.0826011
81	0.087108
82	0.082768
83	0.0756972
84	0.0769231
85	0.074359
86	0.0753512
87	0.0751592
88	0.0695187
89	0.0638298
90	0.0582011
91	0.0526316
92	0.0471204
93	0.0416667
94	0.0362694
95	0.0309278
96	0.025641
97	0.0204082
98	0.0152284
99	0.02
100	0.0149254
101	0.0143541
102	0.00952381
103	0.0140845
104	0.00934579
105	0.00925926
106	0.00460829
107	0.0439663
108	0.0462107
109	0.0450782
110	0.0441176
111	0.0440367
112	0.043956
113	0.0430009
114	0.0429224
116	0.0425339
117	0.0384615
118	0.0393097
119	0.0410697
120	0.0408357
122	0.0404516
123	0.0421743
124	0.0449339
125	0.0446976
126	0.0427201
128	0.0390286
129	0.0397924
130	0.0388266
131	0.0404127
133	0.0466497
134	0.0567613
135	0.0667766
137	0.0703764
138	0.0709046
139	0.0738037
141	0.0780488
143	0.0758725
144	0.0771558
145	0.0769231
146	0.075188
148	0.0751534
149	0.0722433
151	0.0723982
153	0.0720721
154	0.0662695
156	0.0628234
157	0.0596026
159	0.074392
161	0.0725863
162	0.0731364
164	0.0728597
165	0.0727273
167	0.0731707
169	0.0727763
171	0.0723861
172	0.0721944
174	0.0655391
176	0.0607966
177	0.0593161
179	0.0591472
180	0.0566553
183	0.0559676
184	0.0555184
187	0.0537353
189	0.0517354
190	0.0496084
191	0.0487329
193	0.0454255
196	0.0419537
197	0.0428838
200	0.0426716
